dataset,modelo,instance,time_milp,len_milp,time_milp_relaxed,len_milp_relaxed
wine,model_1layers_20neurons.h5,0,,,"[0.10505056381225586, 0.11785125732421875, 0.09427070617675781, 0.09786033630371094, 0.09321379661560059, 0.09309911727905273, 0.09414887428283691, 0.0961756706237793, 0.09451103210449219, 0.09492993354797363]","[13, 13, 13, 13, 13, 13, 13, 13, 13, 13]"
wine,model_1layers_20neurons.h5,1,,,"[0.09672188758850098, 0.0946950912475586, 0.09905886650085449, 0.09461450576782227, 0.09530925750732422, 0.10291123390197754, 0.09510350227355957, 0.09194827079772949, 0.09384894371032715, 0.09197282791137695]","[13, 13, 13, 13, 13, 13, 13, 13, 13, 13]"
wine,model_1layers_20neurons.h5,2,,,"[0.10895895957946777, 0.09640908241271973, 0.10575270652770996, 0.10253500938415527, 0.09286928176879883, 0.09781622886657715, 0.0945732593536377, 0.09990119934082031, 0.09946489334106445, 0.09455180168151855]","[13, 13, 13, 13, 13, 13, 13, 13, 13, 13]"
wine,model_1layers_20neurons.h5,3,,,"[0.09926581382751465, 0.09610867500305176, 0.09943056106567383, 0.10050821304321289, 0.09707522392272949, 0.09415912628173828, 0.09189820289611816, 0.09397411346435547, 0.10240745544433594, 0.10698819160461426]","[13, 13, 13, 13, 13, 13, 13, 13, 13, 13]"
wine,model_1layers_20neurons.h5,4,,,"[0.10862088203430176, 0.11467385292053223, 0.10803031921386719, 0.12269139289855957, 0.2048182487487793, 0.11968469619750977, 0.09656739234924316, 0.16309499740600586, 0.09775376319885254, 0.10836195945739746]","[13, 13, 13, 13, 13, 13, 13, 13, 13, 13]"
wine,model_1layers_20neurons.h5,5,,,"[0.1157529354095459, 0.11158204078674316, 0.11185121536254883, 0.11236143112182617, 0.11590218544006348, 0.11421704292297363, 0.1114349365234375, 0.1197359561920166, 0.1093745231628418, 0.16623210906982422]","[13, 13, 13, 13, 13, 13, 13, 13, 13, 13]"
wine,model_1layers_20neurons.h5,6,,,"[0.17740917205810547, 0.09962868690490723, 0.11647391319274902, 0.11505651473999023, 0.11328601837158203, 0.11593246459960938, 0.10637640953063965, 0.10539579391479492, 0.11126089096069336, 0.10564541816711426]","[13, 13, 13, 13, 13, 13, 13, 13, 13, 13]"
wine,model_1layers_20neurons.h5,7,,,"[0.10031008720397949, 0.10027027130126953, 0.09283304214477539, 0.10071063041687012, 0.10027718544006348, 0.09513592720031738, 0.09679388999938965, 0.10264992713928223, 0.10530495643615723, 0.09849929809570312]","[13, 13, 13, 13, 13, 13, 13, 13, 13, 13]"
wine,model_1layers_20neurons.h5,8,,,"[0.16924786567687988, 0.10215520858764648, 0.10055327415466309, 0.09299206733703613, 0.09567046165466309, 0.10182309150695801, 0.09564375877380371, 0.09913897514343262, 0.09328341484069824, 0.10633349418640137]","[13, 13, 13, 13, 13, 13, 13, 13, 13, 13]"
wine,model_1layers_20neurons.h5,9,,,"[0.10412359237670898, 0.11083245277404785, 0.09667158126831055, 0.11161184310913086, 0.10663604736328125, 0.10843372344970703, 0.12732338905334473, 0.11313223838806152, 0.11840963363647461, 0.12261557579040527]","[13, 13, 13, 13, 13, 13, 13, 13, 13, 13]"
wine,model_1layers_20neurons.h5,10,,,"[0.10932350158691406, 0.09953784942626953, 0.12409138679504395, 0.17119479179382324, 0.16958999633789062, 0.10909628868103027, 0.1097719669342041, 0.11839985847473145, 0.11450934410095215, 0.11116719245910645]","[13, 13, 13, 13, 13, 13, 13, 13, 13, 13]"
wine,model_1layers_20neurons.h5,11,,,"[0.09883880615234375, 0.11188101768493652, 0.10701966285705566, 0.1106560230255127, 0.10630154609680176, 0.10987615585327148, 0.10817432403564453, 0.11859655380249023, 0.1260240077972412, 0.10893917083740234]","[13, 13, 13, 13, 13, 13, 13, 13, 13, 13]"
wine,model_1layers_20neurons.h5,12,,,"[0.11617183685302734, 0.11429023742675781, 0.09969520568847656, 0.10424995422363281, 0.10188150405883789, 0.1070702075958252, 0.1128695011138916, 0.10622644424438477, 0.10560941696166992, 0.11530423164367676]","[13, 13, 13, 13, 13, 13, 13, 13, 13, 13]"
wine,model_1layers_20neurons.h5,13,,,"[0.10557675361633301, 0.09820151329040527, 0.16884660720825195, 0.0892796516418457, 0.09788322448730469, 0.11288166046142578, 0.12152266502380371, 0.09981560707092285, 0.10138416290283203, 0.10814213752746582]","[13, 13, 13, 13, 13, 13, 13, 13, 13, 13]"
wine,model_1layers_20neurons.h5,14,,,"[0.11355376243591309, 0.3086392879486084, 0.11061716079711914, 0.1028742790222168, 0.15282893180847168, 0.1530759334564209, 0.12230181694030762, 0.10522627830505371, 0.10472726821899414, 0.10073018074035645]","[13, 13, 13, 13, 13, 13, 13, 13, 13, 13]"
wine,model_1layers_20neurons.h5,15,,,"[0.11944699287414551, 0.16649746894836426, 0.18616724014282227, 0.11441516876220703, 0.10260796546936035, 0.1184225082397461, 0.10580968856811523, 0.11432886123657227, 0.11547470092773438, 0.11032509803771973]","[13, 13, 13, 13, 13, 13, 13, 13, 13, 13]"
wine,model_1layers_20neurons.h5,16,,,"[0.12048935890197754, 0.15981459617614746, 0.13992547988891602, 0.09972429275512695, 0.14568591117858887, 0.14292645454406738, 0.19450855255126953, 0.17705512046813965, 0.2728860378265381, 0.12052440643310547]","[13, 13, 13, 13, 13, 13, 13, 13, 13, 13]"
wine,model_1layers_20neurons.h5,17,,,"[0.14311790466308594, 0.11863183975219727, 0.12117195129394531, 0.22559499740600586, 0.11954259872436523, 0.11567401885986328, 0.12868547439575195, 0.12488126754760742, 0.11609482765197754, 0.15197324752807617]","[13, 13, 13, 13, 13, 13, 13, 13, 13, 13]"
wine,model_1layers_20neurons.h5,18,,,"[0.2490222454071045, 0.19636249542236328, 0.1234903335571289, 0.10352253913879395, 0.10396170616149902, 0.10393261909484863, 0.1047823429107666, 0.10613083839416504, 0.2060391902923584, 0.09966301918029785]","[13, 13, 13, 13, 13, 13, 13, 13, 13, 13]"
wine,model_1layers_20neurons.h5,19,,,"[0.11574745178222656, 0.10675215721130371, 0.10517024993896484, 0.10866498947143555, 0.12428092956542969, 0.11963248252868652, 0.11769938468933105, 0.11595916748046875, 0.11321115493774414, 0.12371635437011719]","[13, 13, 13, 13, 13, 13, 13, 13, 13, 13]"
wine,model_1layers_20neurons.h5,20,,,"[0.10562014579772949, 0.10269308090209961, 0.19206643104553223, 0.10899662971496582, 0.09749746322631836, 0.0976419448852539, 0.10882449150085449, 0.10909748077392578, 0.10529255867004395, 0.10933423042297363]","[13, 13, 13, 13, 13, 13, 13, 13, 13, 13]"
wine,model_1layers_20neurons.h5,21,,,"[0.09551239013671875, 0.10982394218444824, 0.10723018646240234, 0.09803080558776855, 0.09851479530334473, 0.10852909088134766, 0.11477994918823242, 0.10161590576171875, 0.12179017066955566, 0.1264817714691162]","[13, 13, 13, 13, 13, 13, 13, 13, 13, 13]"
wine,model_1layers_20neurons.h5,22,,,"[0.16278576850891113, 0.14377045631408691, 0.1300346851348877, 0.08888125419616699, 0.24182415008544922, 0.14331650733947754, 0.20156526565551758, 0.11145925521850586, 0.12376856803894043, 0.11604738235473633]","[13, 13, 13, 13, 13, 13, 13, 13, 13, 13]"
wine,model_1layers_20neurons.h5,23,,,"[0.13266658782958984, 0.12285876274108887, 0.11579012870788574, 0.11417651176452637, 0.13585567474365234, 0.11930203437805176, 0.14130592346191406, 0.12844491004943848, 0.12059926986694336, 0.11175370216369629]","[13, 13, 13, 13, 13, 13, 13, 13, 13, 13]"
wine,model_1layers_20neurons.h5,24,,,"[0.10585188865661621, 0.10446667671203613, 0.10222697257995605, 0.10210371017456055, 0.09031558036804199, 0.10768628120422363, 0.10427045822143555, 0.11196517944335938, 0.11587810516357422, 0.1048729419708252]","[13, 13, 13, 13, 13, 13, 13, 13, 13, 13]"
wine,model_1layers_20neurons.h5,25,,,"[0.13784217834472656, 0.09718775749206543, 0.11603641510009766, 0.09791135787963867, 0.11796998977661133, 0.10502982139587402, 0.10187768936157227, 0.1045076847076416, 0.11256051063537598, 0.20087313652038574]","[13, 13, 13, 13, 13, 13, 13, 13, 13, 13]"
wine,model_1layers_20neurons.h5,26,,,"[0.20563769340515137, 0.15181231498718262, 0.09407377243041992, 0.10193800926208496, 0.12079524993896484, 0.12668395042419434, 0.11142754554748535, 0.1056671142578125, 0.1128695011138916, 0.12682390213012695]","[13, 13, 13, 13, 13, 13, 13, 13, 13, 13]"
wine,model_1layers_20neurons.h5,27,,,"[0.11364436149597168, 0.10500669479370117, 0.10418057441711426, 0.09800457954406738, 0.09473991394042969, 0.09646415710449219, 0.10618042945861816, 0.10962820053100586, 0.1438438892364502, 0.13286256790161133]","[13, 13, 13, 13, 13, 13, 13, 13, 13, 13]"
wine,model_1layers_20neurons.h5,28,,,"[0.11546826362609863, 0.1219625473022461, 0.12424993515014648, 0.1206822395324707, 0.11072540283203125, 0.12837481498718262, 0.11148333549499512, 0.1307969093322754, 0.11710429191589355, 0.10959386825561523]","[13, 13, 13, 13, 13, 13, 13, 13, 13, 13]"
